time,open,high,low,close,volume,day
10:00:00,103.45,103.53,103.08,103.2,637240,1
10:01:00,103.19,103.29,103.15,103.29,419940,1
10:02:00,103.29,103.49,103.25,103.48,560950,1
10:03:00,103.48,103.54,103.4,103.44,165420,1
10:04:00,103.43,103.45,103.3,103.33,417730,1
10:05:00,103.31,103.38,103.19,103.27,526180,1
10:06:00,103.25,103.45,103.25,103.35,627840,1
10:07:00,103.39,103.4,103.3,103.32,249160,1
10:08:00,103.31,103.31,103.17,103.2,286250,1
10:09:00,103.2,103.2,102.98,103.08,451580,1
10:10:00,103.06,103.2,103.05,103.15,128290,1
10:11:00,103.16,103.19,103.08,103.12,70270,1
10:12:00,103.12,103.15,103.06,103.07,97870,1
10:13:00,103.08,103.15,102.86,102.86,746310,1
10:14:00,102.88,103.06,102.85,103.06,377610,1
10:15:00,103.06,103.14,103.01,103.04,101500,1
10:16:00,103.04,103.05,102.91,102.97,373370,1
10:17:00,102.97,103.27,102.97,103.25,267130,1
10:18:00,103.26,103.31,103.2,103.23,118550,1
10:19:00,103.23,103.34,103.21,103.29,320600,1
10:20:00,103.29,103.37,103.15,103.37,215140,1
10:21:00,103.37,103.48,103.23,103.38,453210,1
10:22:00,103.38,103.45,103.32,103.44,271680,1
10:23:00,103.41,103.46,103.38,103.46,113070,1
10:24:00,103.45,103.74,103.4,103.6,686930,1
10:25:00,103.56,103.74,103.49,103.56,595840,1
10:26:00,103.53,103.58,103.49,103.52,165140,1
10:27:00,103.55,103.57,103.49,103.5,28890,1
10:28:00,103.5,103.54,103.47,103.48,165940,1
10:29:00,103.48,103.5,103.48,103.49,25290,1
10:30:00,103.49,103.54,103.46,103.46,200740,1
10:31:00,103.46,103.48,103.32,103.36,338820,1
10:32:00,103.33,103.49,103.25,103.33,213880,1
10:33:00,103.34,103.39,103.32,103.36,43460,1
10:34:00,103.35,103.38,103.2,103.3,307800,1
10:35:00,103.31,103.4,103.25,103.4,184360,1
10:36:00,103.38,103.51,103.38,103.46,181330,1
10:37:00,103.46,103.47,103.23,103.35,256300,1
10:38:00,103.31,103.39,103.31,103.39,14090,1
10:39:00,103.39,103.48,103.39,103.48,93630,1
10:40:00,103.48,103.57,103.47,103.55,185170,1
10:41:00,103.55,103.57,103.45,103.51,198370,1
10:42:00,103.55,103.57,103.5,103.56,73650,1
10:43:00,103.57,103.7,103.51,103.56,350290,1
10:44:00,103.56,103.68,103.56,103.68,88740,1
10:45:00,103.68,103.89,103.67,103.71,677900,1
10:46:00,103.67,103.71,103.66,103.68,152630,1
10:47:00,103.68,103.74,103.66,103.73,173820,1
10:48:00,103.71,103.88,103.71,103.88,280820,1
10:49:00,103.85,104.04,103.85,103.98,1320200,1
10:50:00,103.96,104.13,103.95,104.08,664350,1
10:51:00,104.06,104.1,104.06,104.08,88310,1
10:52:00,104.08,104.08,104.01,104.07,180230,1
10:53:00,104.05,104.12,104.05,104.1,138270,1
10:54:00,104.08,104.1,103.86,104.02,728660,1
10:55:00,103.98,104.09,103.94,104.09,180880,1
10:56:00,104.09,104.09,103.98,104.02,141720,1
10:57:00,104.03,104.09,104.01,104.07,82770,1
10:58:00,104.01,104.06,104.0,104.05,94410,1
10:59:00,104.03,104.08,103.9,103.95,188510,1
11:00:00,103.98,104.08,103.95,104.05,292330,1
11:01:00,104.05,104.09,103.95,104.02,628900,1
11:02:00,104.03,104.04,103.91,103.94,304100,1
11:03:00,103.92,104.0,103.9,103.93,147140,1
11:04:00,103.96,103.96,103.81,103.85,315950,1
11:05:00,103.85,103.91,103.82,103.84,77680,1
11:06:00,103.82,103.82,103.7,103.75,382260,1
11:07:00,103.75,103.94,103.73,103.94,146470,1
11:08:00,103.93,103.95,103.87,103.95,97480,1
11:09:00,103.91,103.96,103.9,103.96,23970,1
11:10:00,103.95,103.99,103.9,103.99,96180,1
11:11:00,103.97,104.05,103.97,104.05,226600,1
11:12:00,104.05,104.2,103.98,104.19,1171330,1
11:13:00,104.19,104.2,104.04,104.11,272300,1
11:14:00,104.1,104.19,104.08,104.13,233100,1
11:15:00,104.12,104.34,104.11,104.31,880420,1
11:16:00,104.31,104.43,104.3,104.43,1558780,1
11:17:00,104.42,104.45,104.31,104.31,1189070,1
11:18:00,104.31,104.35,104.13,104.19,709800,1
11:19:00,104.19,104.26,104.03,104.03,544740,1
11:20:00,104.03,104.05,103.75,103.75,1335440,1
11:21:00,103.75,103.81,103.64,103.79,726060,1
11:22:00,103.75,103.84,103.75,103.8,182300,1
11:23:00,103.79,103.85,103.76,103.81,211080,1
11:24:00,103.85,103.87,103.75,103.75,225540,1
11:25:00,103.76,103.96,103.76,103.89,253590,1
11:26:00,103.89,103.9,103.8,103.8,177630,1
11:27:00,103.8,103.84,103.75,103.84,320580,1
11:28:00,103.84,103.85,103.77,103.77,86160,1
11:29:00,103.77,103.81,103.72,103.79,354680,1
11:30:00,103.76,103.79,103.71,103.73,167660,1
11:31:00,103.72,103.73,103.56,103.71,923300,1
11:32:00,103.66,103.77,103.65,103.75,118610,1
11:33:00,103.76,103.85,103.75,103.84,171690,1
11:34:00,103.84,104.12,103.79,103.98,1050620,1
11:35:00,104.0,104.09,103.99,104.05,63020,1
11:36:00,104.05,104.05,103.95,104.04,35060,1
11:37:00,104.01,104.14,104.0,104.1,232770,1
11:38:00,104.08,104.11,104.0,104.02,197200,1
11:39:00,104.0,104.07,103.96,104.05,88810,1
11:40:00,104.05,104.09,104.04,104.09,61980,1
11:41:00,104.09,104.09,103.96,104.02,52590,1
11:42:00,103.98,104.0,103.95,104.0,329460,1
11:43:00,104.0,104.09,104.0,104.09,255440,1
11:44:00,104.07,104.08,103.98,104.03,41670,1
11:45:00,104.01,104.09,104.0,104.06,49140,1
11:46:00,104.06,104.09,104.0,104.06,41810,1
11:47:00,104.06,104.06,104.03,104.06,12210,1
11:48:00,104.05,104.09,104.05,104.08,65630,1
11:49:00,104.07,104.08,104.05,104.08,155250,1
11:50:00,104.06,104.1,103.98,104.09,438360,1
11:51:00,104.09,104.28,104.04,104.11,605110,1
11:52:00,104.1,104.16,104.0,104.07,387200,1
11:53:00,104.08,104.17,104.01,104.17,106510,1
11:54:00,104.14,104.19,104.1,104.1,130150,1
11:55:00,104.1,104.19,104.03,104.15,165620,1
11:56:00,104.11,104.14,104.01,104.03,108790,1
11:57:00,104.04,104.06,103.8,103.95,868820,1
11:58:00,103.91,103.91,103.83,103.86,240960,1
11:59:00,103.86,103.9,103.72,103.8,349200,1
12:00:00,103.82,103.88,103.74,103.82,135370,1
12:01:00,103.78,103.87,103.75,103.82,142160,1
12:02:00,103.76,104.15,103.74,104.01,1146990,1
12:03:00,104.01,104.04,103.95,103.97,144790,1
12:04:00,103.97,103.99,103.84,103.88,68210,1
12:05:00,103.91,103.99,103.91,103.97,44390,1
12:06:00,103.99,104.04,103.95,103.99,101670,1
12:07:00,104.0,104.0,103.96,103.99,8660,1
12:08:00,103.97,103.99,103.92,103.94,46330,1
12:09:00,103.94,104.05,103.94,104.05,221280,1
12:10:00,104.03,104.2,104.03,104.2,512910,1
12:11:00,104.2,104.2,104.12,104.16,134920,1
12:12:00,104.16,104.19,104.12,104.13,71460,1
12:13:00,104.13,104.19,104.11,104.13,47130,1
12:14:00,104.13,104.17,103.97,104.05,138150,1
12:15:00,104.08,104.08,103.9,103.94,176950,1
12:16:00,103.91,104.03,103.83,103.91,251020,1
12:17:00,103.86,103.9,103.78,103.86,197700,1
12:18:00,103.81,103.84,103.64,103.65,477660,1
12:19:00,103.66,103.68,103.6,103.65,481970,1
12:20:00,103.64,103.65,103.45,103.53,1362780,1
12:21:00,103.55,103.58,103.36,103.39,757090,1
12:22:00,103.41,103.5,103.31,103.5,562120,1
12:23:00,103.49,103.49,103.24,103.35,865060,1
12:24:00,103.32,103.32,103.24,103.28,233430,1
12:25:00,103.3,103.48,103.24,103.33,342870,1
12:26:00,103.31,103.4,103.3,103.36,240180,1
12:27:00,103.35,103.35,103.3,103.35,144220,1
12:28:00,103.33,103.33,102.97,103.09,2281150,1
12:29:00,103.06,103.18,103.01,103.01,326380,1
12:30:00,103.02,103.03,102.8,102.81,1320110,1
12:31:00,102.8,102.93,102.8,102.86,464030,1
12:32:00,102.84,102.97,102.8,102.97,509300,1
12:33:00,102.97,103.1,102.95,102.98,588340,1
12:34:00,103.0,103.07,102.91,103.05,130740,1
12:35:00,103.05,103.23,103.05,103.22,503280,1
12:36:00,103.2,103.28,103.17,103.28,388400,1
12:37:00,103.27,103.29,103.2,103.29,178770,1
12:38:00,103.27,103.33,103.27,103.31,140750,1
12:39:00,103.29,103.29,103.1,103.12,727700,1
12:40:00,103.1,103.27,103.1,103.16,259400,1
12:41:00,103.16,103.25,103.11,103.25,84600,1
12:42:00,103.25,103.3,103.1,103.26,767720,1
12:43:00,103.22,103.28,103.04,103.23,338360,1
12:44:00,103.23,103.28,103.14,103.28,90350,1
12:45:00,103.26,103.28,103.15,103.25,140030,1
12:46:00,103.25,103.28,103.15,103.23,55930,1
12:47:00,103.23,103.27,103.14,103.18,95430,1
12:48:00,103.14,103.2,103.05,103.13,454820,1
12:49:00,103.15,103.22,103.08,103.18,100460,1
12:50:00,103.2,103.2,103.1,103.11,163620,1
12:51:00,103.1,103.15,103.05,103.15,278330,1
12:52:00,103.13,103.19,103.05,103.08,262050,1
12:53:00,103.06,103.09,103.01,103.09,308590,1
12:54:00,103.05,103.15,103.05,103.12,395940,1
12:55:00,103.07,103.13,103.0,103.0,315800,1
12:56:00,103.0,103.0,102.8,102.95,712900,1
12:57:00,102.97,103.03,102.95,103.03,159970,1
12:58:00,103.0,103.02,102.87,102.99,378490,1
12:59:00,102.99,103.0,102.93,102.95,209380,1
13:00:00,102.95,103.02,102.86,102.97,369830,1
13:01:00,102.94,103.09,102.94,103.03,587870,1
13:02:00,103.04,103.04,102.93,102.96,271830,1
13:03:00,102.96,103.03,102.96,102.99,33850,1
13:04:00,102.99,103.07,102.85,102.94,433250,1
13:05:00,102.94,103.13,102.93,103.02,253840,1
13:06:00,103.03,103.06,103.0,103.06,59110,1
13:07:00,103.03,103.2,103.01,103.1,474350,1
13:08:00,103.15,103.17,103.09,103.17,54810,1
13:09:00,103.15,103.17,103.09,103.15,83280,1
13:10:00,103.15,103.18,103.09,103.17,45400,1
13:11:00,103.17,103.2,103.07,103.16,126990,1
13:12:00,103.12,103.24,103.1,103.24,213200,1
13:13:00,103.19,103.24,103.15,103.22,76070,1
13:14:00,103.24,103.37,103.22,103.34,517940,1
13:15:00,103.33,103.34,103.3,103.32,422010,1
13:16:00,103.3,103.4,103.3,103.36,208920,1
13:17:00,103.36,103.4,103.31,103.36,101720,1
13:18:00,103.35,103.37,103.3,103.3,44590,1
13:19:00,103.33,103.38,103.3,103.33,81140,1
13:20:00,103.33,103.36,103.3,103.35,75040,1
13:21:00,103.31,103.45,103.31,103.41,357540,1
13:22:00,103.43,103.45,103.39,103.43,69480,1
13:23:00,103.44,103.59,103.4,103.55,474090,1
13:24:00,103.55,103.56,103.44,103.46,256880,1
13:25:00,103.45,103.46,103.34,103.37,86130,1
13:26:00,103.36,103.36,103.3,103.34,74560,1
13:27:00,103.31,103.35,103.3,103.34,138070,1
13:28:00,103.34,103.36,103.31,103.34,115280,1
13:29:00,103.33,103.43,103.32,103.42,163900,1
13:30:00,103.43,103.43,103.32,103.36,67230,1
13:31:00,103.32,103.4,103.3,103.4,56890,1
13:32:00,103.37,103.39,103.14,103.22,418140,1
13:33:00,103.18,103.28,103.18,103.28,66900,1
13:34:00,103.29,103.32,103.21,103.29,72310,1
13:35:00,103.24,103.25,103.17,103.24,99480,1
13:36:00,103.21,103.37,103.21,103.37,111270,1
13:37:00,103.37,103.59,103.36,103.58,1293900,1
13:38:00,103.58,103.68,103.53,103.61,574270,1
13:39:00,103.6,103.69,103.56,103.62,498480,1
13:40:00,103.59,103.62,103.5,103.5,379630,1
13:41:00,103.5,103.6,103.49,103.55,471440,1
13:42:00,103.55,103.69,103.55,103.69,258740,1
13:43:00,103.66,103.68,103.56,103.64,59910,1
13:44:00,103.64,103.66,103.57,103.64,76110,1
13:45:00,103.62,103.7,103.6,103.68,43150,1
13:46:00,103.65,103.65,103.5,103.62,97650,1
13:47:00,103.61,103.66,103.5,103.66,83300,1
13:48:00,103.62,103.62,103.5,103.57,97130,1
13:49:00,103.55,103.58,103.5,103.58,84500,1
13:50:00,103.56,103.58,103.5,103.58,176330,1
13:51:00,103.58,103.68,103.45,103.63,658930,1
13:52:00,103.62,103.68,103.58,103.68,125950,1
13:53:00,103.66,103.75,103.66,103.74,219600,1
13:54:00,103.72,103.74,103.6,103.66,171860,1
13:55:00,103.61,103.69,103.57,103.65,106890,1
13:56:00,103.66,103.68,103.64,103.68,35870,1
13:57:00,103.68,103.73,103.61,103.61,227820,1
13:58:00,103.63,103.7,103.61,103.63,125870,1
13:59:00,103.63,103.69,103.6,103.65,221630,1
14:00:00,103.61,103.65,103.59,103.6,34200,1
14:01:00,103.59,103.62,103.45,103.62,1416990,1
14:02:00,103.62,103.62,103.57,103.57,22030,1
14:03:00,103.6,103.6,103.56,103.58,45010,1
14:04:00,103.59,103.64,103.58,103.64,133380,1
14:05:00,103.64,103.64,103.51,103.58,252100,1
14:06:00,103.53,103.57,103.48,103.51,470470,1
14:07:00,103.55,103.56,103.5,103.52,96890,1
14:08:00,103.55,103.55,103.51,103.52,53010,1
14:09:00,103.52,103.56,103.52,103.56,8290,1
14:10:00,103.56,103.56,103.47,103.56,280560,1
14:11:00,103.53,103.65,103.53,103.64,148340,1
14:12:00,103.64,103.65,103.56,103.64,77210,1
14:13:00,103.62,103.64,103.54,103.62,54700,1
14:14:00,103.61,103.62,103.6,103.6,39710,1
14:15:00,103.62,103.63,103.59,103.61,31680,1
14:16:00,103.59,103.73,103.55,103.71,193210,1
14:17:00,103.71,103.75,103.63,103.7,620090,1
14:18:00,103.7,103.8,103.69,103.77,353240,1
14:19:00,103.79,103.79,103.69,103.73,87910,1
14:20:00,103.71,103.74,103.7,103.72,30110,1
14:21:00,103.74,103.78,103.6,103.63,204610,1
14:22:00,103.62,103.64,103.55,103.57,110220,1
14:23:00,103.59,103.63,103.56,103.62,116590,1
14:24:00,103.61,103.62,103.58,103.61,23460,1
14:25:00,103.59,103.61,103.55,103.61,83120,1
14:26:00,103.58,103.62,103.57,103.61,87370,1
14:27:00,103.61,103.64,103.58,103.64,193410,1
14:28:00,103.61,103.63,103.6,103.62,26890,1
14:29:00,103.62,103.64,103.6,103.64,84710,1
14:30:00,103.63,103.64,103.54,103.55,167220,1
14:31:00,103.55,103.6,103.54,103.59,102920,1
14:32:00,103.58,103.64,103.57,103.64,130490,1
14:33:00,103.64,103.64,103.6,103.63,39290,1
14:34:00,103.63,103.64,103.57,103.6,131160,1
14:35:00,103.59,103.6,103.46,103.51,1259570,1
14:36:00,103.51,103.54,103.47,103.53,733040,1
14:37:00,103.53,103.58,103.5,103.54,202610,1
14:38:00,103.53,103.59,103.5,103.53,373410,1
14:39:00,103.52,103.55,103.5,103.53,255580,1
14:40:00,103.51,103.54,103.49,103.51,460520,1
14:41:00,103.5,103.55,103.5,103.55,154900,1
14:42:00,103.55,103.61,103.51,103.59,461400,1
14:43:00,103.59,103.66,103.58,103.64,108690,1
14:44:00,103.63,103.64,103.57,103.63,15730,1
14:45:00,103.63,103.69,103.59,103.66,185090,1
14:46:00,103.64,103.86,103.64,103.8,1057850,1
14:47:00,103.8,103.84,103.75,103.78,200480,1
14:48:00,103.76,103.86,103.76,103.86,350370,1
